00001,77061104,상병,문채윤,2020-09-11,010-8574-1585,1999-04-05
00002,77061105,병장,윤용호,2020-09-11,010-5800-6776,1998-02-13
00003,77061106,상병,유병재,2020-08-11,010-8261-5114,1997-04-13
00004,77061107,상병,김명근,2020-10-11,010-2408-0015,1999-07-11
00005,77061108,상병,김시열,2020-09-11,010-5670-4102,1997-08-21
00006,77061109,상병,김영범,2020-01-28,010-2070-0402,1999-04-07
00007,77061110,상병,송진규,2020-03-17,010-4311-7551,1997-01-23
00008,77260011,일병,경채성,2021-09-12,010-9496-1483,1996-04-12
00009,77260012,상병,조하다,2020-11-14,010-9877-8713,2000-12-18
00010,77260013,병장,임소미,2019-04-02,010-9093-9842,1995-07-11
00011,77260014,상병,심현수,2020-02-25,010-0249-1676,1995-09-05
00012,77260015,상병,두영훈,2019-04-01,010-0761-8623,1998-06-22
00013,77260016,상병,연윤창,2019-09-11,010-5844-7124,1999-03-08
00014,77260017,병장,주은성,2021-07-05,010-5791-3623,1997-08-18
00015,77260018,이병,선지솜,2020-05-07,010-1127-2015,1998-04-19
00016,77260019,상병,진은하,2021-07-26,010-2732-9881,1999-10-06
00017,77260020,이병,조기현,2021-05-23,010-0452-2491,1994-09-24
00018,77260021,일병,봉주채,2021-10-25,010-2539-0236,1994-05-28
00019,77260022,상병,복윤채,2020-12-11,010-0720-0535,1995-12-15
00020,77260023,이병,석미하,2019-10-08,010-1162-9849,1998-05-03
00021,77260024,상병,반현미,2019-07-11,010-0962-9811,1997-11-05
00022,77260025,이병,민영아,2019-03-10,010-8078-2630,1997-02-24
00023,77260026,이병,조섭주,2019-12-21,010-6640-6395,1994-01-04
00024,77260027,병장,기솜훈,2021-10-19,010-3851-3038,2000-06-21
00025,77260028,이병,두문솜,2021-06-28,010-6805-3085,1998-04-12
00026,77260029,상병,이식란,2021-02-16,010-8799-9475,1999-09-04
00027,77260030,병장,경식감,2019-04-27,010-5791-3934,1999-10-06
00028,77260031,병장,우영연,2020-03-24,010-6898-0070,2000-05-20
00029,77260032,이병,구석환,2019-09-15,010-1783-6709,1998-09-17
00030,77260033,일병,현솜석,2019-03-28,010-0605-0552,1999-02-27
00031,77260034,병장,박영문,2020-05-14,010-8973-0947,1995-06-07
00032,77260035,이병,구란소,2021-09-24,010-5048-9941,1995-10-06
00033,77260036,병장,차영은,2019-10-01,010-2017-4271,1995-02-09
00034,77260037,병장,감현섭,2019-06-18,010-9835-9618,1994-05-15
00035,77260038,병장,진연영,2021-07-19,010-7586-8973,1996-09-22
00036,77260039,상병,신감영,2019-07-28,010-8362-3323,1995-01-21
00037,77260040,상병,동영범,2021-11-14,010-8223-0015,1996-11-18
00038,77260041,병장,채윤범,2019-09-26,010-6874-4335,1995-05-18
00039,77260042,상병,국용우,2021-10-25,010-5054-0282,2000-09-07
00040,77260043,이병,신현용,2019-10-19,010-7611-4764,1996-01-07
00041,77260044,상병,석주석,2021-07-19,010-6582-7664,1994-09-19
00042,77260045,일병,백기윤,2020-12-01,010-7801-0269,1999-02-04
00043,77260046,이병,하다하,2019-02-06,010-6150-6360,2000-03-20
00044,77260047,이병,형연소,2020-06-27,010-9311-2967,2000-03-11
